Punto Id	Clase de Punto	WGS84 X	WGS84 Y	WGS84 Z
AECH	Control	1597473.57111	-6161876.94621	411650.91496
ASVI	Control	1668141.26658	-6138202.08641	472015.95633
B2-TL-1	Averaged	1657433.28814	-6142174.22616	458513.90984
B4-TL-1	Averaged	1655840.61167	-6142517.13532	459784.10303
IBAG	Control	1623166.64821	-6149837.62903	489244.43514
T-2258	Averaged	1658295.70947	-6141924.32577	458661.70509
T-2259	Averaged	1659107.12168	-6141685.73615	458871.76180
T-2260	Averaged	1659883.93474	-6141448.92535	459185.22558
T-2261	Averaged	1660584.02687	-6141226.51482	459580.61563
T-2262	Averaged	1660687.49029	-6141246.43403	458962.97236
T-2263	Averaged	1660096.96973	-6141423.64496	458797.51327
T-2264	Averaged	1659466.84158	-6141622.08396	458446.67476
T-2265	Averaged	1658526.53085	-6141893.65907	458239.63455
T-2266	Averaged	1657457.51570	-6142247.51617	457414.26386
T-2267	Averaged	1658870.54161	-6141834.52883	457748.33286
T-2268	Averaged	1659477.87458	-6141641.37733	458110.00329
T-2269	Averaged	1660460.26758	-6141363.06897	458245.28135
T-2270	Averaged	1660589.99328	-6141373.81126	457634.43733
T-2271	Averaged	1659105.39654	-6141799.29864	457359.77682
T-2272	Averaged	1661338.58495	-6141090.27560	458704.72370
T-2273	Averaged	1657933.32136	-6141969.19485	459387.54187
T-2274	Averaged	1658355.62602	-6141852.14956	459390.93461
T-2275	Averaged	1658840.77573	-6141716.09909	459422.18112
T-2276	Averaged	1659240.83325	-6141586.86664	459684.94159
T-2277	Averaged	1657047.95134	-6142275.37366	458580.87518
T-2278	Averaged	1657801.87307	-6142083.62846	458375.18979
