Punto Id	Clase de Punto	Latitud WGS84	Longitud WGS84	Altura Elip WGS84
AECH	Control	3 43 29,737602 N	75 27 57,532576 O	832,17125
ASVI	Control	4 16 20,790677 N	74 47 46,585662 O	304,86955
B2-TL-1	Averaged	4 08 59,959050 N	74 53 55,383153 O	345,66717
B4-TL-1	Averaged	4 09 41,397288 N	74 54 48,134930 O	354,27693
IBAG	Control	4 25 40,967853 N	75 12 53,004304 O	1216,08678
T-2258	Averaged	4 09 04,796666 N	74 53 26,276360 O	339,88393
T-2259	Averaged	4 09 11,661140 N	74 52 58,861653 O	336,36217
T-2260	Averaged	4 09 21,900052 N	74 52 32,544760 O	333,16190
T-2261	Averaged	4 09 34,813187 N	74 52 08,750771 O	329,91322
T-2262	Averaged	4 09 14,650288 N	74 52 05,681122 O	331,25614
T-2263	Averaged	4 09 09,238142 N	74 52 25,663088 O	336,17546
T-2264	Averaged	4 08 57,782936 N	74 52 47,064180 O	337,87736
T-2265	Averaged	4 08 51,020669 N	74 53 18,792218 O	339,82783
T-2266	Averaged	4 08 24,073654 N	74 53 55,243839 O	343,05318
T-2267	Averaged	4 08 34,992016 N	74 53 07,524663 O	336,83511
T-2268	Averaged	4 08 46,801054 N	74 52 46,882020 O	334,97276
T-2269	Averaged	4 08 51,222393 N	74 52 13,779842 O	332,45020
T-2270	Averaged	4 08 31,284987 N	74 52 09,810591 O	332,41418
T-2271	Averaged	4 08 22,312022 N	74 52 59,875851 O	335,93531
T-2272	Averaged	4 09 06,219977 N	74 51 43,981491 O	331,75621
T-2273	Averaged	4 09 28,483939 N	74 53 37,998870 O	341,47124
T-2274	Averaged	4 09 28,601011 N	74 53 23,790896 O	338,79503
T-2275	Averaged	4 09 29,627001 N	74 53 07,455136 O	336,21255
T-2276	Averaged	4 09 38,206583 N	74 52 53,840416 O	334,89209
T-2277	Averaged	4 09 02,139726 N	74 54 08,299498 O	347,79752
T-2278	Averaged	4 08 55,434837 N	74 53 43,080315 O	344,17564
